num,artist_id,artist_name,artist_mbtags,tempo,key,class
0,ARD7TVE1187B99BFB1,Casual,,92.198,1.0,18
1,ARMJAGH1187FB546F3,The Box Tops,classic pop and rock,121.274,6.0,10
2,ARKRRTF1187B9984DA,Sonora Santanera,,100.07,8.0,48
3,AR7G5I41187FB4CE6C,Adam Ant,uk,119.29299999999999,0.0,8
4,ARXR32B1187FB57099,Gob,,129.738,2.0,21
5,ARKFYS91187B98E58F,Jeff And Sheri Easter,,147.782,5.0,31
6,ARD0S291187B9B7BF5,Rated R,,111.787,1.0,18
7,AR10USD1187B99F3F1,Tweeterfriendly Music,,101.43,4.0,7
8,AR8ZCNI1187B9A069B,Planet P Project,,86.64299999999999,4.0,7
9,ARNTLGG11E2835DDB9,Clp,,114.041,7.0,10
10,ARGSJW91187B9B1D6B,JennyAnyKind,,146.765,5.0,31
11,ARC43071187B990240,Wayne Watson,,117.975,7.0,37
12,ARL7K851187B99ACD2,Andy Andy,,130.04,9.0,3
13,ARHHO3O1187B989413,Bob Azzam,,137.334,10.0,3
14,ARIK43K1187B9AE54C,Lionel Richie,soul and reggae,125.197,3.0,46
15,ARD842G1187B997376,Blue Rodeo,canadian,119.82600000000001,7.0,51
16,ARIG6O41187B988BDD,Richard Souther,,127.756,8.0,41
17,AR1ZHYZ1187FB3C717,Faiz Ali Faiz,,99.273,6.0,45
18,ARYKCQI1187FB3B18F,Tesla,,150.062,7.0,49
19,ARNPAGP1241B9C7FD4,lextrical,,138.33100000000002,7.0,10
20,ARQGYP71187FB44566,Jimmy Wakely,,86.186,1.0,36
21,ARI3BMM1187FB4255E,Alice Stuart,,110.382,10.0,40
22,AR5KOSW1187FB35FF4,Elena,,111.874,2.0,39
23,ARMAC4T1187FB3FA4C,The Dillinger Escape Plan,rock and indie,166.862,7.0,35
24,AR47JEX1187B995D81,SUE THOMPSON,,137.52200000000002,10.0,57
25,ARGIWFO1187B9B55B7,Five Bolt Main,,164.672,7.0,35
26,ARNTLGG11E2835DDB9,Clp,,125.006,6.0,10
27,ARDNS031187B9924F0,Tim Wilson,,90.022,5.0,54
